ILA_Ridecore_SRAI_sanity.aig 19.07
ILA_Piccolo_ADDI_problem.aig Timeout
ILA_Ridecore_XOR_sanity.aig 17.25
yosyshq_appnote_123_cv32e40x-p142.aig 218.29
cal41.aig 0.23
qspiflash_qflexpress_divfive-p112.aig 0.37
yosyshq_appnote_123_cv32e40x-p649.aig 3162.12
yosyshq_appnote_123_cv32e40x-p348.aig 15.13
yosyshq_appnote_123_veer_axi-p05.aig Timeout
arbitrated_top_n4_w8_d32_e0.aig 507.89
Problem19_label00.aig Timeout
yosyshq_appnote_123_cv32e40x-p564.aig 1690.01
yosyshq_appnote_123_cv32e40x-p745.aig 11.75
hard-ll_valuebound20.aig 805.58
Problem17_label03.aig Timeout
processed_vector_add_cmp_split_8.aig Timeout
a16-p160.aig Timeout
gauss_sum.i.p+lhb-reducer.aig 181.25
transmitter.10.cil.aig 2.25
cal178.aig 0.21
diffeq.aig 2441.96
minepump_spec2_product07.cil.aig 0.71
Problem10_label07.aig 5.79
sqrt_Newton_pseudoconstant.aig Timeout
pc_sfifo_1.cil-2+token_ring.05.cil-2.aig 1.29
yosyshq_appnote_123_cv32e40x-p602.aig Timeout
Problem07_label01.aig 35.07
pals_lcr-var-start-time.6.1.ufo.UNBOUNDED.pals.aig 4.98
yosyshq_appnote_123_cv32e40x-p429.aig Timeout
a16-p139.aig 0.55
float_req_bl_1092a.aig 0.27
ILA_Piccolo_JALR_sanity.aig 61.41
yosyshq_appnote_123_veer_axi-p74.aig 289.35
yosyshq_appnote_123_cv32e40x-p363.aig 78.04
rocket_5541.aig 645.14
a16-p113.aig 0.30
yosyshq_appnote_123_cv32e40x-p097.aig Timeout
Problem02_label10.aig 0.44
elevator.3.prop1-back-serstep.aig 0.46
float8.aig 0.61
yosyshq_appnote_123_cv32e40x-p019.aig 165.70
pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label09.aig 1856.83
pc_sfifo_2.cil-1+token_ring.13.cil-1.aig 5.46
a11.aig Timeout
a10-p53.aig 3.73
93.c.aig 0.63
arbitrated_top_n2_w32_d32_e0.aig 96.29
yosyshq_appnote_123_cv32e40x-p220.aig 11.33
a19-p16.aig 225.89
bin-suffix-5.aig 0.28
yosyshq_appnote_123_veer_axi-p39.aig Timeout
yosyshq_appnote_123_cv32e40x-p733.aig Timeout
yosyshq_appnote_123_cv32e40x-p299.aig 72.94
a16-p152.aig 0.51
qspiflash_dualflexpress_divthree-p050.aig 1.00
picorv32_mutCY_nomem-p8.aig Timeout
yosyshq_appnote_123_cv32e40x-p698.aig Timeout
freire1_valuebound1.aig 16.46
rast-p10.aig 0.61
a10-p35.aig 3.33
a16-p012.aig 842.95
yosyshq_appnote_123_cv32e40x-p238.aig 11.32
lcm1_valuebound100.aig Timeout
Problem06_label53.aig Timeout
yosyshq_appnote_123_cv32e40x-p660.aig 62.17
simple_vardep_1.aig 1065.26
yosyshq_appnote_123_cv32e40x-p463.aig 46.76
s3_srvr_1b.cil.aig 0.40
cal182.aig 1.51
analog_estimation_convergence_unsafe.aig 0.23
a16-p085.aig 0.38
lamport_nonatomic.5.prop1-back-serstep.aig Timeout
rocket_1951.aig 23.52
a10-p41.aig 2.29
rocket_2067.aig 27.52
yosyshq_appnote_123_cv32e40x-p610.aig 121.69
yosyshq_appnote_123_cv32e40x-p658.aig 78.96
egcd3-ll_unwindbound2.aig 14.79
egcd-ll_unwindbound10.aig Timeout
ILA_Flute_SUB_sanity.aig Timeout
yosyshq_appnote_123_cv32e40x-p514.aig 308.21
gen102.aig 1.44
zipcpu-busdelay-p09.aig 0.25
yosyshq_appnote_123_cv32e40x-p104.aig 1784.93
yosyshq_appnote_123_cv32e40x-p478.aig 275.64
yosyshq_appnote_123_cv32e40x-p056.aig Timeout
yosyshq_appnote_123_veer_axi-p31.aig 8.08
Problem19_label36.aig Timeout
yosyshq_appnote_123_cv32e40x-p505.aig Timeout
fib_37.aig 0.23
circular_pointer_top_w64_d8_e0.aig 2.42
a03.aig Timeout
yosyshq_appnote_123_cv32e40x-p355.aig 12.00
gen45.aig 0.74
qspiflash_dualflexpress_divfive-p162.aig 16.07
pc_sfifo_2.cil-1+token_ring.11.cil-2.aig Timeout
yosyshq_appnote_123_cv32e40x-p301.aig 10.99
pals_lcr-var-start-time.5.1.ufo.UNBOUNDED.pals.aig 1.73
yosyshq_appnote_123_cv32e40x-p681.aig 11.33
newton_1_5.aig 6.54
a16-p146.aig 0.36
yosyshq_appnote_123_veer_axi-p23.aig 6.95
a10-p30.aig 3.13
ILA_Flute_XORI_sanity.aig Timeout
digits_bad_for.aig 75.25
yosyshq_appnote_123_cv32e40x-p352.aig 13.71
ILA_Piccolo_LHU_problem.aig 26.41
gen112.aig 1.81
cal97.aig 66.38
mono-crafted_8.aig Timeout
yosyshq_appnote_123_cv32e40x-p093.aig Timeout
