jm2006.c.i.v+cfa-reducer.aig Timeout
cal97.aig 70.17
yosyshq_appnote_123_cv32e40x-p033.aig 301.11
a19-p15.aig 6.19
ILA_Ridecore_LBU_problem.aig 191.95
yosyshq_appnote_123_cv32e40x-p201.aig Timeout
qspiflash_dualflexpress_divthree-p132.aig 0.53
zipcpu-busdelay-p09.aig 1.01
rocket_1961.aig 1339.75
yosyshq_appnote_123_cv32e40x-p101.aig Timeout
processed_hl_arr_access_128_bv.aig Timeout
cal75.aig 0.46
a10-p04.aig 123.67
a16-p102.aig Timeout
yosyshq_appnote_123_cv32e40x-p167.aig 136.23
yosyshq_appnote_123_cv32e40x-p753.aig Timeout
ILA_Piccolo_ADDI_problem.aig Timeout
yosyshq_appnote_123_cv32e40x-p599.aig Timeout
ILA_Piccolo_LHU_sanity.aig 48.89
hard-ll_valuebound20.aig 1110.16
ILA_Piccolo_BGEU_sanity.aig 69.65
anderson.3.prop1-func-interl.aig 2.02
yosyshq_appnote_123_cv32e40x-p363.aig 1524.46
qspiflash_qflexpress_divfive-p025.aig 0.72
ponylink-slaveTXlen-sat.aig 784.33
a16-p018.aig 240.67
gen112.aig 8.46
yosyshq_appnote_123_cv32e40x-p056.aig Timeout
yosyshq_appnote_123_cv32e40x-p281.aig 2167.41
pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label09.aig Timeout
a16-p085.aig 2.09
yosyshq_appnote_123_cv32e40x-p760.aig Timeout
elevator.3.prop1-back-serstep.aig 1.26
yosyshq_appnote_123_cv32e40x-p355.aig 143.56
qspiflash_dualflexpress_divfive-p114.aig 141.23
yosyshq_appnote_123_cv32e40x-p039.aig Timeout
arbitrated_top_n5_w128_d128_e0.aig Timeout
yosyshq_appnote_123_cv32e40x-p301.aig 137.11
yosyshq_appnote_123_cv32e40x-p334.aig 138.76
float8.aig 4.92
cal41.aig 0.54
ILA_Ridecore_SRLI_problem.aig 221.55
fib_37.aig 0.63
yosyshq_appnote_123_veer_axi-p62.aig 241.26
Problem19_label00.aig Timeout
ILA_Piccolo_LHU_problem.aig 436.74
gen103.aig 9.50
yosyshq_appnote_123_veer-p15.aig 126.48
a13.aig Timeout
benchmark04_conjunctive.aig Timeout
yosyshq_appnote_123_cv32e40x-p061.aig Timeout
picorv32_mutCX_nomem-p1.aig Timeout
yosyshq_appnote_123_cv32e40x-p413.aig 136.66
Problem07_label01.aig 238.40
rocket_5541.aig Timeout
yosyshq_appnote_123_cv32e40x-p187.aig 135.58
yosyshq_appnote_123_cv32e40x-p156.aig 150.59
h_Arbiter.aig 0.29
yosyshq_appnote_123_cv32e40x-p104.aig Timeout
yosyshq_appnote_123_cv32e40x-p733.aig Timeout
rocket_1951.aig 1628.48
a16-p113.aig 2.11
pals_lcr.5.ufo.BOUNDED-10.pals+Problem12_label02.aig Timeout
a10-p35.aig 123.47
marlann_compute_cp_fail2-p1.aig 0.86
ILA_AES_START_ENCRYPT_problem.aig 2.28
pals_lcr.5_overflow.ufo.UNBOUNDED.pals+Problem12_label02.aig Timeout
gcd.aig 37.40
ILA_Piccolo_LW_sanity.aig 37.65
minepump_spec2_product54.cil.aig 5.32
picorv32_mutCX_nomem-p2.aig Timeout
ILA_Ridecore_SLT_sanity.aig 180.96
loop3.aig Timeout
yosyshq_appnote_123_cv32e40x-p463.aig 257.55
newton_1_5.aig 47.00
picorv32-check-p09.aig 3.84
gauss_sum.i.p+lhb-reducer.aig Timeout
a16-p160.aig Timeout
float_req_bl_1071.aig 0.43
yosyshq_appnote_123_cv32e40x-p299.aig 1477.17
Problem17_label03.aig Timeout
Problem11_label26.aig 2656.47
yosyshq_appnote_123_cv32e40x-p418.aig 1743.92
zonotope_2.aig 305.52
yosyshq_appnote_123_cv32e40x-p564.aig Timeout
simple_vardep_1.aig 43.97
ILA_Flute_SLTI_problem.aig Timeout
fib_30.aig 0.60
sqrt_Newton_pseudoconstant.aig Timeout
pc_sfifo_2.cil-1+token_ring.11.cil-2.aig Timeout
yosyshq_appnote_123_cv32e40x-p238.aig 133.43
yosyshq_appnote_123_cv32e40x-p500.aig 138.72
yosyshq_appnote_123_cv32e40x-p131.aig Timeout
yosyshq_appnote_123_cv32e40x-p698.aig Timeout
Problem04_label27.aig 24.72
diffeq.aig Timeout
kalman_bit_width_small.aig 8.49
qspiflash_dualflexpress_divthree-p050.aig 5.37
cal27.aig 1.26
qspiflash_dualflexpress_divfive-p063.aig 271.24
yosyshq_appnote_123_cv32e40x-p105.aig Timeout
float_req_bl_1092a.aig 0.76
ILA_Flute_SLL_problem.aig Timeout
qspiflash_dualflexpress_divthree-p061.aig 18.55
yosyshq_appnote_123_cv32e40x-p340.aig Timeout
up.aig Timeout
minepump_spec4_product16.cil.aig 1.69
Problem06_label53.aig Timeout
bin-suffix-5.aig 0.40
pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04.aig 1969.14
lcm2_unwindbound50.aig Timeout
ILA_Flute_SW_problem.aig Timeout
zipcpu-zipmmu-p49.aig 0.77
transmitter.10.cil.aig 37.61
yosyshq_appnote_123_cv32e40x-p377.aig Timeout
qspiflash_dualflexpress_divfive-p162.aig 373.70
a07-p14.aig 159.40
ILA_Piccolo_SRLI_sanity.aig 522.64
yosyshq_appnote_123_veer-p08.aig Timeout
a16-p152.aig 2.24
ILA_Ridecore_AND_sanity.aig 168.00
yosyshq_appnote_123_cv32e40x-p246.aig Timeout
yosyshq_appnote_123_cv32e40x-p388.aig Timeout
yosyshq_appnote_123_cv32e40x-p545.aig Timeout
vgasim_imgfifo-p040.aig 1.13
