psyco_io_1.aig 0.28
ILA_Ridecore_SRAI_sanity.aig 34.85
yosyshq_appnote_123_cv32e40x-p649.aig 187.88
ILA_Ridecore_XOR_sanity.aig 39.22
yosyshq_appnote_123_cv32e40x-p142.aig 257.70
cal41.aig 0.16
qspiflash_qflexpress_divfive-p112.aig 0.17
ILA_Piccolo_ADDI_problem.aig Timeout
yosyshq_appnote_123_cv32e40x-p348.aig 3.02
yosyshq_appnote_123_veer_axi-p05.aig Timeout
arbitrated_top_n4_w8_d32_e0.aig 0.82
Problem19_label00.aig Timeout
a16-p160.aig 148.92
yosyshq_appnote_123_cv32e40x-p745.aig 2.29
hard-ll_valuebound20.aig 188.40
Problem17_label03.aig Timeout
yosyshq_appnote_123_cv32e40x-p564.aig Timeout
diffeq.aig 1320.18
processed_vector_add_cmp_split_8.aig Timeout
transmitter.10.cil.aig 10.27
cal178.aig 0.13
sqrt_Newton_pseudoconstant.aig Timeout
minepump_spec2_product07.cil.aig 0.73
Problem10_label07.aig 5.54
gauss_sum.i.p+lhb-reducer.aig 2623.05
pc_sfifo_1.cil-2+token_ring.05.cil-2.aig 8.98
yosyshq_appnote_123_cv32e40x-p602.aig Timeout
Problem07_label01.aig 72.66
pals_lcr-var-start-time.6.1.ufo.UNBOUNDED.pals.aig 6.46
a11.aig 447.47
a16-p139.aig 0.36
float_req_bl_1092a.aig 0.19
ILA_Piccolo_JALR_sanity.aig 43.13
rocket_5541.aig 1028.27
yosyshq_appnote_123_cv32e40x-p363.aig 13.85
yosyshq_appnote_123_cv32e40x-p429.aig Timeout
a16-p113.aig 0.19
yosyshq_appnote_123_cv32e40x-p019.aig 104.43
Problem02_label10.aig 0.26
elevator.3.prop1-back-serstep.aig 0.25
float8.aig 0.58
yosyshq_appnote_123_cv32e40x-p097.aig Timeout
yosyshq_appnote_123_veer_axi-p74.aig Timeout
pc_sfifo_2.cil-1+token_ring.13.cil-1.aig 16.47
a19-p16.aig 10.85
a10-p53.aig 0.33
93.c.aig 8.28
arbitrated_top_n2_w32_d32_e0.aig 1.98
yosyshq_appnote_123_cv32e40x-p220.aig 2.18
picorv32_mutCY_nomem-p8.aig 133.37
bin-suffix-5.aig 0.13
yosyshq_appnote_123_veer_axi-p39.aig Timeout
yosyshq_appnote_123_cv32e40x-p733.aig Timeout
yosyshq_appnote_123_cv32e40x-p299.aig 14.70
a16-p152.aig 0.19
qspiflash_dualflexpress_divthree-p050.aig 0.34
Problem06_label53.aig 106.93
freire1_valuebound1.aig 14.35
a16-p012.aig 178.97
rast-p10.aig 0.23
a10-p35.aig 0.36
pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label09.aig Timeout
yosyshq_appnote_123_cv32e40x-p238.aig 2.55
yosyshq_appnote_123_cv32e40x-p698.aig Timeout
simple_vardep_1.aig 0.55
yosyshq_appnote_123_cv32e40x-p660.aig 50.86
lcm1_valuebound100.aig Timeout
yosyshq_appnote_123_cv32e40x-p463.aig 6.21
s3_srvr_1b.cil.aig 0.18
cal182.aig 2.14
analog_estimation_convergence_unsafe.aig 0.14
a16-p085.aig 0.23
lamport_nonatomic.5.prop1-back-serstep.aig Timeout
rocket_1951.aig 23.99
a10-p41.aig 0.33
egcd-ll_unwindbound10.aig Timeout
yosyshq_appnote_123_cv32e40x-p610.aig 8.78
yosyshq_appnote_123_cv32e40x-p658.aig 6.93
egcd3-ll_unwindbound2.aig 17.56
yosyshq_appnote_123_cv32e40x-p104.aig 280.54
ILA_Flute_SUB_sanity.aig Timeout
yosyshq_appnote_123_cv32e40x-p514.aig 24.38
gen102.aig 0.40
zipcpu-busdelay-p09.aig 0.13
yosyshq_appnote_123_cv32e40x-p478.aig 93.95
yosyshq_appnote_123_cv32e40x-p056.aig 3192.48
a03.aig 785.86
yosyshq_appnote_123_veer_axi-p31.aig 8.27
rocket_2067.aig Timeout
Problem19_label36.aig Timeout
fib_37.aig 0.42
circular_pointer_top_w64_d8_e0.aig 1.27
yosyshq_appnote_123_cv32e40x-p505.aig Timeout
yosyshq_appnote_123_cv32e40x-p355.aig 2.70
gen45.aig 0.33
qspiflash_dualflexpress_divfive-p162.aig 3.18
pc_sfifo_2.cil-1+token_ring.11.cil-2.aig Timeout
yosyshq_appnote_123_cv32e40x-p301.aig 2.28
pals_lcr-var-start-time.5.1.ufo.UNBOUNDED.pals.aig 3.65
yosyshq_appnote_123_cv32e40x-p681.aig 2.37
newton_1_5.aig 5.67
a16-p146.aig 0.29
yosyshq_appnote_123_veer_axi-p23.aig 7.87
a10-p30.aig 0.34
