a19-p15.btor 0.24
rast-p10.btor 2.44
cal143.btor 2896.37
a16-p018.btor Timeout
arbitrated_top_n4_w32_d32_e0.btor Timeout
rether.4.prop1-back-serstep.btor Timeout
cal234.btor Timeout
a16-p113.btor 0.48
yosyshq_appnote_123_veer-p15.btor 7.19
qspiflash_qflexpress_divfive-p112.btor 60.22
up.btor Timeout
cal89.btor Timeout
cal37.btor 35.46
picorv32-check-p17.btor 65.00
cancel_var_through_overflow.btor 1.41
brp2.3.prop1-back-serstep.btor Timeout
vgasim_imgfifo-p089.btor 188.03
zipcpu-busdelay-p15.btor 221.56
Problem02_label10.btor 149.51
qspiflash_dualflexpress_divthree-p030.btor Timeout
zipcpu-zipmmu-p00.btor 281.63
zipcpu-busdelay-p09.btor 0.06
ILA_Flute_SLL_problem.btor Timeout
yosyshq_appnote_123_cv32e40x-p418.btor Timeout
qspiflash_dualflexpress_divthree-p107.btor Timeout
dspfilters_fastfir_second-p10.btor Timeout
yosyshq_appnote_123_cv32e40x-p475.btor Timeout
cal206.btor Timeout
circular_pointer_top_w16_d32_e0.btor Timeout
zipcpu-pfcache-p13.btor 279.10
rast-p11.btor 12.31
qspiflash_dualflexpress_divfive-p079.btor 119.31
picorv32_mutAY_nomem-p7.btor Timeout
gen14.btor 0.23
yosyshq_appnote_123_cv32e40x-p071.btor Timeout
dspfilters_fastfir_second-p29.btor Timeout
a10-p53.btor 284.81
yosyshq_appnote_123_cv32e40x-p062.btor Timeout
yosyshq_appnote_123_cv32e40x-p061.btor Timeout
arbitrated_top_n5_w128_d64_e0.btor Timeout
arbitrated_top_n5_w64_d16_e0.btor Timeout
cal220.btor Timeout
arbitrated_top_n3_w16_d32_e0.btor Timeout
pgm_protocol.2.prop5-back-serstep.btor Timeout
qspiflash_dualflexpress_divfive-p076.btor Timeout
gen21.btor 0.20
circular_pointer_top_w32_d32_e0.btor Timeout
gen33.btor 0.55
yosyshq_appnote_123_cv32e40x-p299.btor Timeout
cal180.btor 12.21
yosyshq_appnote_123_cv32e40x-p363.btor Timeout
pgm_protocol.3.prop5-func-interl.btor Timeout
shift_register_top_w8_d32_e0.btor Timeout
zipversa_composecrc_prf-p15.btor Timeout
ILA_Flute_AND_problem.btor Timeout
ILA_Flute_SB_sanity.btor Timeout
processed_hl_arr_access_128_bv.btor Timeout
qspiflash_qflexpress_divfive-p048.btor 71.40
qspiflash_dualflexpress_divthree-p124.btor 192.64
picorv32_mutCY_nomem-p0.btor Timeout
a16-p074.btor 22.86
arbitrated_top_n3_w64_d128_e0.btor Timeout
gen35.btor 1.20
qspiflash_qflexpress_divfive-p104.btor 39.52
qspiflash_dualflexpress_divfive-p091.btor Timeout
qspiflash_qflexpress_divfive-p005.btor Timeout
ridecore.btor Timeout
cal165.btor 146.36
picorv32_mutCX_nomem-p8.btor Timeout
yosyshq_appnote_123_cv32e40x-p468.btor 53.29
vcegar_QF_BV_itc99_b13_p06.btor 0.21
zipcpu-zipmmu-p24.btor 366.75
yosyshq_appnote_123_cv32e40x-p584.btor Timeout
yosyshq_appnote_123_cv32e40x-p364.btor Timeout
picorv32_mutCX_nomem-p0.btor Timeout
zipversa_composecrc_prf-p20.btor Timeout
qspiflash_dualflexpress_divthree-p160.btor Timeout
cal224.btor Timeout
cal106.btor Timeout
a10-p34.btor Timeout
rast-p19.btor 0.75
zipcpu-zipmmu-p27.btor 23.15
yosyshq_appnote_123_veer-p28.btor Failed
cal205.btor Timeout
dspfilters_fastfir_second-p15.btor Timeout
elevator_spec1_product19.cil.btor Timeout
qspiflash_dualflexpress_divfive-p027.btor Timeout
yosyshq_appnote_123_cv32e40x-p217.btor Timeout
picorv32_mutCY_nomem-p4.btor Timeout
picorv32_mutCX_nomem-p2.btor Timeout
lcm1_valuebound100.btor Timeout
rast-p21.btor 0.45
vgasim_imgfifo-p066.btor Timeout
cal4.btor 1.06
gen39.btor 0.31
a16-p148.btor Timeout
circular_pointer_top_w16_d16_e0.btor Timeout
vgasim_imgfifo-p082.btor 48.33
vis_arrays_am2901.btor 52.59
circular_pointer_top_w128_d64_e0.btor Timeout
qspiflash_dualflexpress_divthree-p032.btor Timeout
zipversa_composecrc_prf-p12.btor 0.84
vgasim_imgfifo-p109.btor Timeout
cal161.btor 123.01
qspiflash_qflexpress_divfive-p036.btor 152.50
pals_lcr-var-start-time.5.1.ufo.UNBOUNDED.pals.btor Timeout
cal97.btor Timeout
ILA_Piccolo_LHU_problem.btor Timeout
qspiflash_qflexpress_divfive-p122.btor 11.52
ponylink-slaveTXlen-unsat.btor Timeout
h_Arbiter.btor 0.11
cal42.btor 5.40
rast-p14.btor Timeout
circular_pointer_top_w128_d128_e0.btor Timeout
picorv32_mutAY_nomem-p6.btor Timeout
cal228.btor Timeout
yosyshq_appnote_123_cv32e40x-p388.btor Timeout
float_req_bl_1092a.btor 0.02
rocket_1961.btor Timeout
cal159.btor 468.32
zipcpu-pfcache-p24.btor 115.04
qspiflash_dualflexpress_divfive-p162.btor Timeout
dspfilters_fastfir_second-p09.btor Timeout
zipcpu-pfcache-p27.btor 176.19
zipcpu-pfcache-p19.btor 676.88
VexRiscv-regch0-30-p1.btor Timeout
vgasim_imgfifo-p099.btor 155.92
vcegar_QF_BV_ar.btor 52.87
shift_register_top_w32_d128_e0.btor Timeout
rast-p00.btor Timeout
newton_1_5.btor 1261.67
ILA_AES_START_ENCRYPT_problem.btor 0.81
zonotope_2.btor Timeout
arbitrated_top_n2_w8_d32_e0.btor Timeout
mcs.3.prop1-back-serstep.btor 1755.44
sw_ball2004_2.btor 1.40
cal94.btor Timeout
ILA_Ridecore_SW_problem.btor Timeout
yosyshq_appnote_123_cv32e40x-p187.btor Timeout
qspiflash_dualflexpress_divfive-p057.btor Timeout
yosyshq_appnote_123_cv32e40x-p378.btor Timeout
dspfilters_fastfir_second-p17.btor Timeout
deep-nested.btor Timeout
cal41.btor 4.71
picorv32_mutCY_nomem-p8.btor Timeout
yosyshq_appnote_123_cv32e40x-p128.btor Timeout
qspiflash_qflexpress_divfive-p032.btor 56.96
qspiflash_dualflexpress_divfive-p016.btor 21.36
yosyshq_appnote_123_cv32e40x-p301.btor Timeout
fib_37.btor Timeout
qspiflash_qflexpress_divfive-p120.btor Timeout
arbitrated_top_n4_w64_d128_e0.btor Timeout
Problem07_label01.btor Timeout
picorv32_mutBX_nomem-p8.btor Timeout
zipversa_composecrc_prf-p04.btor 0.95
frogs.5.prop1-func-interl.btor 367.66
yosyshq_appnote_123_cv32e40x-p320.btor Timeout
vgasim_imgfifo-p061.btor 0.11
qspiflash_dualflexpress_divthree-p006.btor Timeout
zipcpu-zipmmu-p31.btor 93.43
rushhour.4.prop1-func-interl.btor Timeout
yosyshq_appnote_123_cv32e40x-p348.btor Timeout
zipcpu-zipmmu-p12.btor 53.75
yosyshq_appnote_123_cv32e40x-p607.btor Timeout
fib_30.btor Timeout
vgasim_imgfifo-p051.btor Timeout
a16-p098.btor 278.56
cal112.btor Timeout
qspiflash_dualflexpress_divfive-p020.btor 0.12
qspiflash_dualflexpress_divthree-p086.btor 134.85
rast-p04.btor 0.38
qspiflash_dualflexpress_divfive-p053.btor 448.32
circular_pointer_top_w64_d8_e0.btor 710.06
a16-p041.btor 182.69
a16-p085.btor 167.38
qspiflash_qflexpress_divfive-p093.btor Timeout
yosyshq_appnote_123_cv32e40x-p749.btor Timeout
ILA_Ridecore_AND_sanity.btor Timeout
qspiflash_dualflexpress_divfive-p114.btor Timeout
cal176.btor Timeout
yosyshq_appnote_123_cv32e40x-p573.btor Timeout
shift_register_top_w64_d16_e0.btor 2868.98
cal26.btor 2.88
qspiflash_dualflexpress_divthree-p136.btor 289.80
yosyshq_appnote_123_veer_axi-p74.btor Failed
egcd3-ll_unwindbound2.btor 31.65
qspiflash_qflexpress_divfive-p064.btor 148.43
anderson.3.prop1-func-interl.btor Timeout
ILA_Ridecore_SRLI_problem.btor Timeout
qspiflash_dualflexpress_divfive-p060.btor 1316.93
qspiflash_dualflexpress_divthree-p069.btor 205.14
a10-p41.btor 215.49
arbitrated_top_n4_w16_d32_e0.btor Timeout
cal210.btor Failed
mod3.c.v+sep-reducer.btor 19.06
exit.5.prop1-func-interl.btor Timeout
qspiflash_dualflexpress_divfive-p017.btor 0.12
cal99.btor Timeout
yosyshq_appnote_123_cv32e40x-p660.btor Timeout
picorv32_mutBX_nomem-p7.btor Timeout
qspiflash_dualflexpress_divthree-p071.btor 7.79
Problem06_label40.btor Timeout
qspiflash_dualflexpress_divfive-p143.btor 0.12
cal132.btor Timeout
picorv32_mutAY_nomem-p4.btor Timeout
benchmark04_conjunctive.btor Timeout
gen32.btor 0.34
qspiflash_dualflexpress_divthree-p094.btor Timeout
dspfilters_fastfir_second-p06.btor Timeout
circular_pointer_top_w8_d64_e0.btor Timeout
qspiflash_dualflexpress_divthree-p138.btor Timeout
marlann_compute_cp_pass-p2.btor 286.76
arbitrated_top_n5_w128_d8_e0.btor Timeout
vcegar_arrays_itc99_b12_p2.btor Timeout
dspfilters_fastfir_second-p25.btor Timeout
arbitrated_top_n2_w64_d128_e0.btor Timeout
cal118.btor Timeout
qspiflash_dualflexpress_divthree-p077.btor 10.56
cal192.btor Timeout
gauss_sum.i.p+lhb-reducer.btor Timeout
qspiflash_qflexpress_divfive-p029.btor 554.00
simple_vardep_1.btor 0.40
vis_arrays_vsa16a_p6.btor 3.74
mul7.btor 4.46
cal2.btor Timeout
brp2.6.prop3-back-serstep.btor Timeout
anderson.3.prop1-back-serstep.btor 13.75
shift_register_top_w64_d128_e0.btor Timeout
Problem19_label14.btor Timeout
cal201.btor Timeout
yosyshq_appnote_123_cv32e40x-p610.btor Timeout
qspiflash_qflexpress_divfive-p079.btor Timeout
qspiflash_qflexpress_divfive-p072.btor 121.10
shift_register_top_w64_d8_e0.btor 53.49
picorv32-check-p05.btor 43.53
ILA_Piccolo_BGEU_sanity.btor Timeout
yosyshq_appnote_123_veer_axi-p06.btor Timeout
Problem10_label07.btor 57.31
zipcpu-zipmmu-p49.btor 0.90
zipcpu-zipmmu-p32.btor 0.33
yosyshq_appnote_123_veer_axi-p23.btor 471.06
qspiflash_dualflexpress_divthree-p134.btor Timeout
arbitrated_top_n5_w128_d128_e0.btor Timeout
yosyshq_appnote_123_veer_axi-p39.btor Timeout
yosyshq_appnote_123_veer-p08.btor Failed
cal39.btor 32.89
arbitrated_top_n3_w16_d128_e0.btor Timeout
Problem05_label42+token_ring.08.cil-2.btor Timeout
cal146.btor Timeout
stack-p2.btor 2.13
yosyshq_appnote_123_cv32e40x-p500.btor Timeout
circular_pointer_top_w8_d32_e0.btor Timeout
picorv32_mutCX_nomem-p4.btor Timeout
zipcpu-zipmmu-p26.btor 200.89
dspfilters_fastfir_second-p08.btor Timeout
zipcpu-pfcache-p25.btor 35.99
qspiflash_dualflexpress_divfive-p054.btor 3448.38
zipcpu-busdelay-p42.btor 40.28
arbitrated_top_n2_w128_d32_e0.btor Timeout
dspfilters_fastfir_second-p20.btor Timeout
dspfilters_fastfir_second-p04.btor 86.86
ILA_Piccolo_SRLI_sanity.btor Timeout
mul2.btor Timeout
picorv32_mutAX_nomem-p8.btor Timeout
arbitrated_top_n2_w8_d16_e0.btor Timeout
vgasim_imgfifo-p039.btor Timeout
cal198.btor Timeout
dspfilters_fastfir_second-p14.btor Timeout
shift_register_top_w64_d64_e0.btor Timeout
h_RCU.btor Timeout
arbitrated_top_n5_w8_d32_e0.btor Timeout
qspiflash_dualflexpress_divfive-p161.btor Timeout
vcegar_QF_BV_usb_phy_1.btor Timeout
a16-p102.btor Timeout
yosyshq_appnote_123_cv32e40x-p733.btor Timeout
qspiflash_dualflexpress_divfive-p004.btor Timeout
qspiflash_dualflexpress_divfive-p018.btor 4.19
cal163.btor 449.11
miim.btor 1.16
picorv32_mutBX_nomem-p5.btor Timeout
qspiflash_dualflexpress_divfive-p058.btor 218.35
